,aspects,terms,text
0,['service'],['staff'],But the staff was so horrible to us.
1,"['food', 'anecdotes/miscellaneous']",['food'],"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
2,['food'],"['food', 'kitchen', 'menu']","The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
3,['service'],[],Where Gabriela personaly greets you and recommends you what to eat.
4,['anecdotes/miscellaneous'],[],"For those that go once and don't enjoy it, all I can say is that they just don't get it."
5,"['food', 'service']","['food', 'perks']","Not only was the food outstanding, but the little 'perks' were great."
6,"['food', 'price']",[],It is very overpriced and not very tasty.
7,"['food', 'service']","['orrechiete with sausage and chicken', 'waiters', 'meats', 'dish']",Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
8,['food'],['Bagels'],"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
9,['food'],['food'],Nevertheless the food itself is pretty good.
10,['ambience'],['songs'],"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
11,['food'],"['toast', 'mayonnaise', 'bacon', 'cheese', 'ingredients', 'plate', 'omelet']","They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
12,['service'],"['drinks', 'check']","It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
13,['ambience'],"['design', 'atmosphere']",The design and atmosphere is just as good.
14,['food'],['cuisine'],He has visited Thailand and is quite expert on the cuisine.
15,['anecdotes/miscellaneous'],[],I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
16,['food'],"['pizza', 'thin crusted pizza']",The pizza is the best if you like thin crusted pizza.
17,['anecdotes/miscellaneous'],[],My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
18,['anecdotes/miscellaneous'],[],"He can't help, they're bought up so fast."
19,['ambience'],[],"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
20,['anecdotes/miscellaneous'],[],"i have eaten here a handful of times, for no reason besides sheer convenience."
21,['service'],[],Obviously run by folks who know a pie.
22,['anecdotes/miscellaneous'],[],We were very disappointed.
23,"['anecdotes/miscellaneous', 'price']",[],IT IS DEFINITELY SPECIAL AND AFFORDABLE.
24,['anecdotes/miscellaneous'],[],I really liked this place.
25,['anecdotes/miscellaneous'],[],I will be going back very soon.
26,"['ambience', 'food']","['interior decoration', 'chefs']","All the money went into the interior decoration, none of it went to the chefs."
27,['ambience'],['seats'],The seats are uncomfortable if you are sitting against the wall on wooden benches.
28,['food'],['seltzer with lime'],"I asked for seltzer with lime, no ice."
29,['price'],[],It was pretty inexpensive too.
30,['anecdotes/miscellaneous'],[],Will not be back.
31,['food'],"['pickles', 'selection of meats and seafoods']","Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
32,['food'],"['dishes', 'eat family style']",My suggestion is to eat family style because you'll want to try the other dishes.
33,"['service', 'ambience']","['vibe', 'owner', 'service']","Best of all is the warm vibe, the owner is super friendly and service is fast."
34,['price'],[],This isn't a value joint.
35,"['anecdotes/miscellaneous', 'service']",['delivery'],Faan's got a great concept but a little rough on the delivery.
36,"['food', 'service', 'ambience']","['food', 'atmosphere', 'service']","From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
37,"['food', 'price']","['food', 'prices']","Great food at REASONABLE prices, makes for an evening that can't be beat!"
38,['anecdotes/miscellaneous'],[],Look foward to trying the Ruben upon returning.
39,['anecdotes/miscellaneous'],[],The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
40,['anecdotes/miscellaneous'],[],We usually go to the Chart House to celebrate a birthday or anniversary.
41,"['ambience', 'price']","['interior deco', 'prices']",this little place has a cute interior decor and affordable city prices.
42,['anecdotes/miscellaneous'],[],You'll adore it.
43,['price'],['wine'],Two words: Free wine.
44,"['service', 'price']","['price', 'service']",The price is reasonable although the service is poor.
45,['food'],['quantity'],"The quantity is also very good, you will come out satisfied."
46,['anecdotes/miscellaneous'],[],I have been to Roth's twice and both times were very disappointing.
47,['anecdotes/miscellaneous'],[],Worth visiting the 1st Ave spot because it is the original store.
48,['anecdotes/miscellaneous'],"['sushi', 'sushi bar']","I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
49,['ambience'],[],"Raga's is a romantic, cozy restaurant."
50,['food'],['fried rice'],The fried rice is amazing here.
51,['food'],"['mussels', 'puff pastry goat cheese', 'salad with a delicious dressing', 'hanger steak au poivre', 'courses']","Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
52,['food'],['indian food'],it's a perfect place to have a amanzing indian food.
53,"['service', 'ambience']","['service', 'place']",The place is so cool and the service is prompt and curtious.
54,['food'],['broth with noodles'],At the end you're left with a mild broth with noodles that you can slurp out of a cup.
55,"['price', 'food']","['meal', 'money']",I just wonder how you can have such a delicious meal for such little money.
56,['food'],['food'],The food was delicious but do not come here on a empty stomach.
57,['food'],['wine list'],The wine list is excellent.
58,['food'],[],so garantuan that you can't fit them in a toaster.
59,['food'],['Thai food'],"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
60,['service'],['glass of wine'],They wouldnt even let me finish my glass of wine before offering another.
61,['anecdotes/miscellaneous'],[],I highly recommend the Sophia pizza.
62,['service'],['specials'],"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
63,['anecdotes/miscellaneous'],"['lunch', 'dinner', 'dine']",This is a consistently great place to dine for lunch or dinner.
64,"['food', 'service', 'ambience']","['atmosphere', 'service', 'desert']","Nice atmosphere, the service was very pleasant and the desert was good."
65,['anecdotes/miscellaneous'],[],All the people that I bring there go back on their own and bring THEIR friends!
66,['anecdotes/miscellaneous'],"['bar', 'table', 'dinner']",After really enjoying ourselves at the bar we sat down at a table and had dinner.
67,"['food', 'service', 'ambience']","['service', 'food', 'atmosphere', 'environment']","Fabulous service, fantastic food, and a chilled out atmosphere and environment."
68,['anecdotes/miscellaneous'],[],Not what I wanted to hear.
69,['food'],['lasagnette appetizer'],Try the lasagnette appetizer.
70,"['price', 'anecdotes/miscellaneous']",[],"Pricey, but worth a try, at least once."
71,['anecdotes/miscellaneous'],[],"I've been there a few times, and I usually end up sitting next to some pretty odd people."
72,['food'],['beer selection'],I liked the beer selection!
73,"['food', 'service', 'ambience']","['food', 'menu', 'service', 'setting']","Great food, good size menu, great service and an unpretensious setting."
74,['anecdotes/miscellaneous'],"['dinner', 'dining']",Go here for a romantic dinner but not for an all out wow dining experience.
75,['anecdotes/miscellaneous'],[],Can't wait to go back.
76,['anecdotes/miscellaneous'],['Dosa'],I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
77,['food'],"['Wine list selection', 'wine-by-the-glass']",Wine list selection is good and wine-by-the-glass was generously filled to the top.
78,['food'],['menu'],"With the great variety on the menu , I eat here often and never get bored ."
79,['food'],"['menu', 'entrees']",The menu is very limited - i think we counted 4 or 5 entrees.
80,['anecdotes/miscellaneous'],[],"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been."
81,['food'],"['menu', 'dishes']",The menu is limited but almost all of the dishes are excellent.
82,['food'],['sake martini'],Not too crazy about their sake martini.
83,"['food', 'anecdotes/miscellaneous']","['bagels', 'spreads']","Great bagels, spreads and a good place to hang out in."
84,['service'],['service'],"The service varys from day to day- sometimes they're very nice, and sometimes not."
85,['ambience'],[],"whoever the jazz duo was, they were on POINT."
86,['service'],['table'],One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
87,['price'],[],This place is a great bargain.
88,['anecdotes/miscellaneous'],[],We happened upon this place purely by accident and were pleased with the results.
89,"['food', 'anecdotes/miscellaneous']",['food'],"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
